nodes,edges,instance,ants,n_nodes,value,time
25,150,6,1,20,1151,2.64069
25,150,7,1,20,1132,3.17146
25,150,8,1,20,1090,3.24431
25,150,9,1,20,1277,3.40504
25,150,10,1,20,1547,3.06517
25,200,1,1,21,1446,3.6783
25,200,2,1,22,1226,4.9096
25,200,3,1,21,1220,5.15102
25,200,4,1,22,1592,3.83091
25,200,5,1,20,1304,3.3438
25,200,6,1,21,1458,3.94904
25,200,7,1,20,1313,3.38445
25,200,8,1,22,1708,4.51571
25,200,9,1,21,1371,3.58607
25,200,10,1,21,1152,3.88553
10,10,1,2,4,174,0.448328
10,10,2,2,5,159,0.466154
10,10,3,2,4,232,0.385137
10,10,4,2,4,184,0.404103
10,10,5,2,4,308,0.445943
10,10,6,2,4,268,0.447758
10,10,7,2,4,220,0.557825
10,10,8,2,5,372,0.83611
10,10,9,2,5,234,0.640111
10,10,10,2,4,215,0.628824
10,20,1,2,5,271,0.889091
10,20,2,2,7,257,0.790975
10,20,3,2,6,334,0.600047
10,20,4,2,6,311,0.58163
10,20,5,2,6,262,0.598186
10,20,6,2,6,323,0.645341
10,20,7,2,6,403,0.614835
10,20,8,2,7,489,0.684902
10,20,9,2,6,400,0.604481
10,20,10,2,6,388,0.722729
10,30,1,2,8,469,1.07134
10,30,2,2,7,563,0.885213
10,30,3,2,7,537,0.867661
10,30,4,2,8,325,0.908253
10,30,5,2,7,391,0.823748
10,30,6,2,7,386,0.977544
10,30,7,2,8,436,0.963674
10,30,8,2,7,447,0.835328
10,30,9,2,7,418,1.10986
10,30,10,2,7,445,0.784082
10,40,1,2,8,526,1.44026
10,40,2,2,8,496,0.862952
10,40,3,2,8,548,1.20401
10,40,4,2,8,426,1.05309
10,40,5,2,8,449,1.24079
10,40,6,2,8,475,1.20389
10,40,7,2,8,309,1.17981
10,40,8,2,8,579,1.40441
10,40,9,2,8,467,1.13862
10,40,10,2,8,524,1.15526
15,20,1,2,6,464,1.11809
15,20,2,2,8,327,1.54324
15,20,3,2,8,476,1.62173
15,20,4,2,8,480,2.22073
15,20,5,2,7,333,1.15852
15,20,6,2,7,453,1.24162
15,20,7,2,7,406,1.19993
15,20,8,2,8,472,1.47211
15,20,9,2,9,435,1.45446
15,20,10,2,8,587,1.54821
15,40,1,2,9,550,1.86891
15,40,2,2,10,549,1.667
15,40,3,2,10,627,1.70471
15,40,4,2,10,519,1.77349
15,40,5,2,10,595,1.75236
15,40,6,2,10,666,2.12196
15,40,7,2,10,606,2.00213
15,40,8,2,9,588,1.79972
15,40,9,2,10,669,1.88723
15,40,10,2,10,681,1.92254
15,60,1,2,11,755,2.14075
15,60,2,2,12,671,2.78559
15,60,3,2,12,731,2.685
15,60,4,2,10,606,2.61281
15,60,5,2,11,737,1.94219
15,60,6,2,11,750,2.27146
15,60,7,2,11,743,2.31637
15,60,8,2,11,768,1.9395
15,60,9,2,12,825,2.2452
15,60,10,2,11,593,2.36623
15,80,1,2,12,661,2.76803
15,80,2,2,12,702,1.92576
15,80,3,2,12,884,2.68931
15,80,4,2,12,776,2.78204
15,80,5,2,13,855,2.7171
15,80,6,2,12,697,2.64384
15,80,7,2,13,892,2.67928
15,80,8,2,12,852,2.55353
15,80,9,2,12,777,2.17677
15,80,10,2,12,750,2.75423
15,100,1,2,13,837,2.38647
15,100,2,2,13,723,2.81639
15,100,3,2,13,805,2.85476
15,100,4,2,13,866,2.72683
15,100,5,2,13,835,2.62276
15,100,6,2,13,983,1.54829
15,100,7,2,14,865,2.91746
15,100,8,2,14,871,3.43376
15,100,9,2,14,877,2.94439
15,100,10,2,13,767,2.85699
20,20,1,2,9,430,2.05449
20,20,2,2,9,501,2.6565
20,20,3,2,10,662,2.22747
20,20,4,2,8,557,2.11873
20,20,5,2,9,487,2.90558
20,20,6,2,9,555,3.35826
20,20,7,2,8,410,1.48578
20,20,8,2,8,568,1.52284
20,20,9,2,7,454,1.41415
20,20,10,2,8,521,1.57689
20,40,1,2,12,801,2.95715
20,40,2,2,10,713,1.31753
20,40,3,2,12,839,2.8092
20,40,4,2,11,564,2.30777
20,40,5,2,12,615,2.83393
20,40,6,2,12,787,2.43199
20,40,7,2,11,680,2.69165
20,40,8,2,12,745,3.43475
20,40,9,2,11,725,2.2888
20,40,10,2,12,763,3.64803
20,60,1,2,14,1093,3.88609
20,60,2,2,13,827,4.02822
20,60,3,2,15,785,3.44944
20,60,4,2,14,998,3.31767
20,60,5,2,14,867,3.2111
20,60,6,2,12,766,3.22035
20,60,7,2,14,876,3.35843
20,60,8,2,13,844,5.06665
20,60,9,2,13,901,2.76151
20,60,10,2,14,762,3.09276
20,80,1,2,15,1058,3.39314
20,80,2,2,14,892,3.21835
20,80,3,2,14,939,3.43642
20,80,4,2,15,921,3.35822
20,80,5,2,15,856,3.70606
20,80,6,2,15,898,3.60707
20,80,7,2,14,844,4.39325
20,80,8,2,15,983,3.96061
20,80,9,2,14,925,5.33452
20,80,10,2,14,849,3.42297
20,100,1,2,17,981,3.95225
20,100,2,2,16,984,4.33002
20,100,3,2,14,969,3.31658
20,100,4,2,16,1014,2.3016
20,100,5,2,16,929,5.35647
20,100,6,2,14,773,3.28003
20,100,7,2,16,1102,3.94853
20,100,8,2,15,1077,3.77203
20,100,9,2,16,1042,3.87946
20,100,10,2,16,1115,3.96536
20,120,1,2,16,959,4.00342
20,120,2,2,16,1068,4.44706
20,120,3,2,16,910,5.19151
20,120,4,2,16,1117,4.74846
20,120,5,2,17,1314,5.19563
20,120,6,2,16,1011,4.81404
20,120,7,2,16,1000,4.46742
20,120,8,2,16,1065,8.36499
20,120,9,2,16,964,3.99872
20,120,10,2,17,802,4.44852
25,40,1,2,13,837,3.56115
25,40,2,2,14,948,3.41182
25,40,3,2,14,986,3.78553
25,40,4,2,13,532,3.94189
25,40,5,2,13,729,4.5878
25,40,6,2,13,726,3.40527
25,40,7,2,14,973,3.60151
25,40,8,2,13,822,3.12391
25,40,9,2,14,817,4.1596
25,40,10,2,14,804,4.0355
25,80,1,2,17,1337,4.61799
25,80,2,2,18,982,5.10177
25,80,3,2,17,1171,6.73052
25,80,4,2,16,888,6.15703
25,80,5,2,17,1085,5.04859
25,80,6,2,15,993,4.09055
25,80,7,2,17,1154,4.80291
25,80,8,2,16,1039,5.11897
25,80,9,2,16,986,4.6191
25,80,10,2,16,1085,4.10686
25,100,1,2,18,1223,4.49924
25,100,2,2,19,1248,5.41677
25,100,3,2,20,1255,5.02634
25,100,4,2,18,969,4.77729
25,100,5,2,18,834,5.10029
25,100,6,2,18,1187,5.36841
25,100,7,2,19,951,5.04155
25,100,8,2,17,897,8.00897
25,100,9,2,18,1344,5.41558
25,100,10,2,18,1238,4.94978
25,150,1,2,21,1448,6.48911
25,150,2,2,19,1210,6.06348
25,150,3,2,21,1457,6.39235
25,150,4,2,19,1152,7.13608
25,150,5,2,20,1213,12.5812
25,150,6,2,20,1151,6.52082
25,150,7,2,20,1132,5.80151
25,150,8,2,19,1065,11.1888
25,150,9,2,20,1277,6.21232
25,150,10,2,20,1540,6.47215
25,200,1,2,21,1446,6.747
25,200,2,2,22,1226,7.76927
25,200,3,2,21,1220,6.75682
25,200,4,2,22,1611,6.59155
25,200,5,2,20,1304,6.58023
25,200,6,2,21,1458,6.77695
25,200,7,2,20,1313,7.3505
25,200,8,2,22,1708,7.70877
25,200,9,2,21,1371,7.37199
25,200,10,2,21,1152,7.32576
10,10,1,4,4,174,0.902807
10,10,2,4,5,159,1.02533
10,10,3,4,4,232,1.06083
