nodes,edges,instance,beta,n_nodes,value,time
50,100,5,0.6,27,1502,85.1857
50,100,5,0.8,27,1582,81.1051
50,100,5,1,27,1502,80.9142
50,100,5,1.2,27,1502,76.7952
50,100,5,1.4,27,1502,78.5335
50,100,5,1.6,27,1502,76.4882
50,100,5,1.8,27,1502,33.4467
50,100,5,2,27,1502,78.0966
50,100,6,0.2,27,1807,128.977
50,100,6,0.4,29,1845,81.2813
50,100,6,0.6,29,1845,86.8162
50,100,6,0.8,29,1845,81.8506
50,100,6,1,29,1825,89.2515
50,100,6,1.2,28,1806,79.4957
50,100,6,1.4,28,1806,78.6096
50,100,6,1.6,27,1807,174.058
50,100,6,1.8,27,1807,73.2195
50,100,6,2,29,1845,77.0727
50,100,7,0.2,26,1493,84.8757
50,100,7,0.4,26,1498,92.1853
50,100,7,0.6,26,1498,102.5
50,100,7,0.8,26,1498,114.671
50,100,7,1,26,1493,75.1926
50,100,7,1.2,26,1493,112.409
50,100,7,1.4,26,1498,96.2874
50,100,7,1.6,26,1493,105.972
50,100,7,1.8,26,1493,37.2243
50,100,7,2,26,1493,83.1348
50,100,8,0.2,29,1782,84.5677
50,100,8,0.4,28,1832,82.6844
50,100,8,0.6,28,1801,90.8507
50,100,8,0.8,29,1782,85.834
50,100,8,1,28,1832,81.615
50,100,8,1.2,28,1832,80.4133
50,100,8,1.4,28,1832,79.8661
50,100,8,1.6,28,1832,80.031
50,100,8,1.8,28,1801,37.0874
50,100,8,2,28,1801,80.9404
50,100,9,0.2,27,1487,73.9331
50,100,9,0.4,27,1487,74.4726
50,100,9,0.6,27,1487,76.4563
50,100,9,0.8,27,1487,74.4219
50,100,9,1,27,1487,77.4526
50,100,9,1.2,27,1487,75.7896
50,100,9,1.4,27,1487,73.9468
50,100,9,1.6,27,1487,74.3067
50,100,9,1.8,27,1487,33.4713
50,100,9,2,28,1469,73.0264
50,100,10,0.2,29,1787,83.4418
50,100,10,0.4,29,1787,83.1256
50,100,10,0.6,29,1787,85.2149
50,100,10,0.8,29,1787,93.4373
50,100,10,1,29,1829,81.4637
50,100,10,1.2,29,1829,82.64
50,100,10,1.4,29,1787,84.0319
50,100,10,1.6,29,1787,92.1528
50,100,10,1.8,29,1787,37.8308
50,100,10,2,29,1787,79.1151
50,250,1,0.2,39,2569,126.646
50,250,1,0.4,38,2520,136.094
50,250,1,0.6,38,2520,122.177
50,250,1,0.8,40,2579,125.276
50,250,1,1,38,2520,130.999
50,250,1,1.2,37,2543,221.384
50,250,1,1.4,38,2564,119.278
50,250,1,1.6,38,2564,119.052
50,250,1,1.8,38,2538,55.5305
50,250,1,2,38,2520,126.985
50,250,2,0.2,37,2396,121.726
50,250,2,0.4,37,2396,123.758
50,250,2,0.6,37,2396,122.223
50,250,2,0.8,37,2391,117.377
50,250,2,1,37,2391,119.249
50,250,2,1.2,37,2396,137.145
50,250,2,1.4,37,2396,133.494
50,250,2,1.6,37,2396,161.483
50,250,2,1.8,37,2396,52.9961
50,250,2,2,37,2391,96.2902
50,250,3,0.2,37,2489,123.759
50,250,3,0.4,37,2489,122.176
50,250,3,0.6,38,2476,139.937
50,250,3,0.8,38,2476,125.222
50,250,3,1,38,2476,128.899
50,250,3,1.2,38,2476,234.981
50,250,3,1.4,38,2476,129.606
50,250,3,1.6,39,2519,125.031
50,250,3,1.8,38,2476,62.9327
50,250,3,2,38,2476,54.3952
50,250,4,0.2,37,2029,135.26
50,250,4,0.4,37,2029,122.445
50,250,4,0.6,37,2029,130.099
50,250,4,0.8,37,2029,126.654
50,250,4,1,37,2029,128.292
50,250,4,1.2,37,2029,126.389
50,250,4,1.4,37,2029,142.561
50,250,4,1.6,37,2029,146.576
50,250,4,1.8,37,2029,52.5943
50,250,4,2,37,2029,52.2964
50,250,5,0.2,34,2234,194.059
50,250,5,0.4,36,2211,118.689
50,250,5,0.6,36,2211,124.2
50,250,5,0.8,36,2211,114.848
50,250,5,1,36,2211,129.79
50,250,5,1.2,36,2211,119.756
50,250,5,1.4,36,2211,119.608
50,250,5,1.6,36,2211,150.26
