nodes,edges,instance,n_nodes,value,time,opt
250,2000,9,197,12969,299.812131881714,0
250,2000,10,198,13085,299.781960487366,0
250,3000,1,210,13408,299.838245153427,0
250,3000,2,216,14735,299.411245346069,0
250,3000,3,216,13823,299.358440637589,0
250,3000,4,215,14951,299.300430059433,0
250,3000,5,214,14387,299.269446611404,0
250,3000,6,215,14255,299.222450971603,0
250,3000,7,212,14026,299.272465229034,0
250,3000,8,218,14107,299.327424526215,0
250,3000,9,212,14086,299.320327043533,0
250,3000,10,216,14659,299.541109800339,0
250,5000,1,224,14785,298.096593618393,0
250,5000,2,224,14777,297.864110469818,0
250,5000,3,225,14773,297.633069992065,0
250,5000,4,223,14422,297.591391086578,0
250,5000,5,223,15333,298.291932582855,0
250,5000,6,224,15357,297.769407510757,0
250,5000,7,226,14862,298.142907142639,0
250,5000,8,227,14616,297.376413583756,0
250,5000,9,225,15342,297.592040538788,0
250,5000,10,223,15566,298.012791872025,0
300,300,1,125,7784,0.0371031761169434,1
300,300,2,129,6971,0.0494987964630127,1
300,300,3,121,7581,0.0507242679595947,1
300,300,4,126,7371,0.0505630970001221,1
300,300,5,119,7386,0.0476641654968262,1
300,300,6,122,7927,0.111807584762573,1
300,300,7,119,7304,0.0485641956329346,1
300,300,8,121,7442,0.0507001876831055,1
300,300,9,126,6880,0.0475368499755859,1
300,300,10,125,7498,0.04793381690979,1
300,500,1,155,9055,0.0690100193023682,1
300,500,2,152,9636,0.0783898830413818,1
300,500,3,149,9479,0.341481685638428,1
300,500,4,151,9301,0.328135967254639,1
300,500,5,154,9112,0.0741221904754639,1
300,500,6,157,9152,0.230771780014038,1
300,500,7,149,8749,0.0748050212860107,1
300,500,8,149,9353,0.18362021446228,1
300,500,9,150,9317,0.0788726806640625,1
300,500,10,155,8971,0.178043842315674,1
300,750,1,179,11119,20.4008283615112,1
300,750,2,175,10674,12.5785429477692,1
300,750,3,178,10469,8.85138010978699,1
300,750,4,173,11149,8.22424364089966,1
300,750,5,173,10926,7.67952632904053,1
300,750,6,176,11269,15.1698985099792,1
300,750,7,176,10456,8.17088627815247,1
300,750,8,174,10878,7.88596391677856,1
300,750,9,177,11278,15.6008520126343,1
300,750,10,174,10859,6.65653228759766,1
300,1000,1,191,11823,251.388457298279,1
300,1000,2,193,12213,243.859612703323,1
300,1000,3,189,12742,300.021418571472,0
300,1000,4,190,12129,300.045457363129,0
300,1000,5,188,11276,33.9973635673523,1
300,1000,6,190,11923,99.1916441917419,1
300,1000,7,189,12061,138.687664031982,1
300,1000,8,188,11829,127.830536842346,1
300,1000,9,191,12012,300.030544519424,0
300,1000,10,190,11937,94.9920773506165,1
300,2000,1,227,14951,299.804270029068,0
300,2000,2,227,14624,299.91086435318,0
300,2000,3,226,14936,299.810619592667,0
300,2000,4,233,14699,299.834212779999,0
300,2000,5,228,14220,299.815976858139,0
300,2000,6,229,14684,299.885545730591,0
300,2000,7,234,15967,299.740332365036,0
300,2000,8,233,15214,299.707626342773,0
300,2000,9,230,15306,299.787080287933,0
300,2000,10,230,14908,299.826214790344,0
300,3000,1,248,16005,299.581164836884,0
300,3000,2,249,17322,299.421754837036,0
300,3000,3,248,15803,299.404765844345,0
300,3000,4,254,16676,299.435356855392,0
300,3000,5,254,16882,299.426906585693,0
300,3000,6,250,16619,299.314274311066,0
300,3000,7,251,16348,299.249781847,0
300,3000,8,249,16378,299.641465425491,0
300,3000,9,252,17100,299.606421947479,0
300,3000,10,247,16693,299.343506574631,0
300,5000,1,264,17689,299.458646059036,0
300,5000,2,265,17308,298.730965614319,0
300,5000,3,267,17818,298.038542747498,0
300,5000,4,263,18195,297.974258184433,0
300,5000,5,265,17855,297.628810882568,0
300,5000,6,263,17257,297.697247266769,0
300,5000,7,269,17689,297.662297487259,0
300,5000,8,271,17976,297.568205356598,0
300,5000,9,269,17980,297.465595245361,0
300,5000,10,268,17358,297.946045398712,0
